"Entity[33665] Report(B000000)", , , , ,"Entity[33665] Report(B000000[0000])","Entity[33665] Report(B000000[0100])", , , ,"Entity[33665] Report(B000000[0500])","Entity[33665] Report(B000000[0600])","Entity[33665] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(00100)","21915","21915"
"HOSPC","hospc_2013_DATA",33665,"B000000","Line(00500)", ,"73", , , ,"73"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(00600)", ,"1000", ,"100","1474","343","474615"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(01000)", , , , , , ,"850"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(01100)", , , , , , ,"2545"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(01500)", ,"20", , , , ,"22321"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(01600)", ,"1000", , ,"12394", ,"187584"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(02000)", ,"50", , ,"600", ,"10970"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(02100)", ,"40", , ,"372", ,"21321"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(02400)", ,"700", , , , ,"99587"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03000)", ,"20", , , , ,"33425"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03100)", , , , , , ,"6958"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03200)", ,"10", , , , ,"73"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03400)", ,"10", , , , ,"189"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03500)", ,"30", , , , ,"14875"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03600)", ,"10", , , , ,"73"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(03900)", , , , , , ,"8990"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(05000)", ,"20", , , , ,"3581"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(05100)", ,"40", , , , ,"5444"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(05300)", ,"30", , ,"450", ,"55829"
"HOSPC","hospc_2013_DATA",33665,"B100000","Line(10000)", ,"21915", , , ,"73","105592"
